Tool,Workload,Description,Model,Run,Phase,Iteration,Time
Neo4j (Core API-CSV),Inject,,railway-inject-256,1,Read,,11965845940
Neo4j (Core API-CSV),Inject,,railway-inject-256,1,Check,,5283863310
Neo4j (Core API-CSV),Inject,,railway-inject-256,1,Transformation,1,243140836
Neo4j (Core API-CSV),Inject,,railway-inject-256,1,Recheck,1,4555195850
Neo4j (Core API-CSV),Inject,,railway-inject-256,1,Transformation,2,80174380
Neo4j (Core API-CSV),Inject,,railway-inject-256,1,Recheck,2,3896223442
Neo4j (Core API-CSV),Inject,,railway-inject-256,1,Transformation,3,48389357
Neo4j (Core API-CSV),Inject,,railway-inject-256,1,Recheck,3,4087626499
Neo4j (Core API-CSV),Inject,,railway-inject-256,1,Transformation,4,55707025
Neo4j (Core API-CSV),Inject,,railway-inject-256,1,Recheck,4,3971696771
Neo4j (Core API-CSV),Inject,,railway-inject-256,1,Transformation,5,46429297
Neo4j (Core API-CSV),Inject,,railway-inject-256,1,Recheck,5,3987514440
Neo4j (Core API-CSV),Inject,,railway-inject-256,2,Read,,10553635201
Neo4j (Core API-CSV),Inject,,railway-inject-256,2,Check,,4140641164
Neo4j (Core API-CSV),Inject,,railway-inject-256,2,Transformation,1,37562309
Neo4j (Core API-CSV),Inject,,railway-inject-256,2,Recheck,1,4309031946
Neo4j (Core API-CSV),Inject,,railway-inject-256,2,Transformation,2,45886111
Neo4j (Core API-CSV),Inject,,railway-inject-256,2,Recheck,2,4029479349
Neo4j (Core API-CSV),Inject,,railway-inject-256,2,Transformation,3,36310937
Neo4j (Core API-CSV),Inject,,railway-inject-256,2,Recheck,3,4065694968
Neo4j (Core API-CSV),Inject,,railway-inject-256,2,Transformation,4,36045806
Neo4j (Core API-CSV),Inject,,railway-inject-256,2,Recheck,4,3995662387
Neo4j (Core API-CSV),Inject,,railway-inject-256,2,Transformation,5,31137293
Neo4j (Core API-CSV),Inject,,railway-inject-256,2,Recheck,5,4134493549
Neo4j (Core API-CSV),Inject,,railway-inject-256,3,Read,,10133898888
Neo4j (Core API-CSV),Inject,,railway-inject-256,3,Check,,4783358262
Neo4j (Core API-CSV),Inject,,railway-inject-256,3,Transformation,1,24940352
Neo4j (Core API-CSV),Inject,,railway-inject-256,3,Recheck,1,3928427449
Neo4j (Core API-CSV),Inject,,railway-inject-256,3,Transformation,2,50781564
Neo4j (Core API-CSV),Inject,,railway-inject-256,3,Recheck,2,4182741155
Neo4j (Core API-CSV),Inject,,railway-inject-256,3,Transformation,3,43450497
Neo4j (Core API-CSV),Inject,,railway-inject-256,3,Recheck,3,4058250458
Neo4j (Core API-CSV),Inject,,railway-inject-256,3,Transformation,4,42494044
Neo4j (Core API-CSV),Inject,,railway-inject-256,3,Recheck,4,6138289641
Neo4j (Core API-CSV),Inject,,railway-inject-256,3,Transformation,5,32420913
Neo4j (Core API-CSV),Inject,,railway-inject-256,3,Recheck,5,4069008554
Neo4j (Core API-CSV),Inject,,railway-inject-256,4,Read,,10531567959
Neo4j (Core API-CSV),Inject,,railway-inject-256,4,Check,,4424084606
Neo4j (Core API-CSV),Inject,,railway-inject-256,4,Transformation,1,24053113
Neo4j (Core API-CSV),Inject,,railway-inject-256,4,Recheck,1,4108072681
Neo4j (Core API-CSV),Inject,,railway-inject-256,4,Transformation,2,34338002
Neo4j (Core API-CSV),Inject,,railway-inject-256,4,Recheck,2,4366877842
Neo4j (Core API-CSV),Inject,,railway-inject-256,4,Transformation,3,30952152
Neo4j (Core API-CSV),Inject,,railway-inject-256,4,Recheck,3,4285268648
Neo4j (Core API-CSV),Inject,,railway-inject-256,4,Transformation,4,29057311
Neo4j (Core API-CSV),Inject,,railway-inject-256,4,Recheck,4,4250542592
Neo4j (Core API-CSV),Inject,,railway-inject-256,4,Transformation,5,25755713
Neo4j (Core API-CSV),Inject,,railway-inject-256,4,Recheck,5,4182867275
Neo4j (Core API-CSV),Inject,,railway-inject-256,5,Read,,11234169614
Neo4j (Core API-CSV),Inject,,railway-inject-256,5,Check,,4661827603
Neo4j (Core API-CSV),Inject,,railway-inject-256,5,Transformation,1,23508206
Neo4j (Core API-CSV),Inject,,railway-inject-256,5,Recheck,1,4184651128
Neo4j (Core API-CSV),Inject,,railway-inject-256,5,Transformation,2,26048960
Neo4j (Core API-CSV),Inject,,railway-inject-256,5,Recheck,2,4337128168
Neo4j (Core API-CSV),Inject,,railway-inject-256,5,Transformation,3,27126347
Neo4j (Core API-CSV),Inject,,railway-inject-256,5,Recheck,3,4952762739
Neo4j (Core API-CSV),Inject,,railway-inject-256,5,Transformation,4,23975525
Neo4j (Core API-CSV),Inject,,railway-inject-256,5,Recheck,4,4805857209
Neo4j (Core API-CSV),Inject,,railway-inject-256,5,Transformation,5,40411031
Neo4j (Core API-CSV),Inject,,railway-inject-256,5,Recheck,5,4382482705
