Tool,Workload,Description,Model,Run,Phase,Iteration,Time
Jena (No Inferencing),Repair,,railway-repair-2,1,Read,,451406776
Jena (No Inferencing),Repair,,railway-repair-2,1,Check,,398229499
Jena (No Inferencing),Repair,,railway-repair-2,1,Transformation,1,6514936
Jena (No Inferencing),Repair,,railway-repair-2,1,Recheck,1,205294913
Jena (No Inferencing),Repair,,railway-repair-2,1,Transformation,2,2078634
Jena (No Inferencing),Repair,,railway-repair-2,1,Recheck,2,131741747
Jena (No Inferencing),Repair,,railway-repair-2,1,Transformation,3,2013928
Jena (No Inferencing),Repair,,railway-repair-2,1,Recheck,3,88336767
Jena (No Inferencing),Repair,,railway-repair-2,1,Transformation,4,2071509
Jena (No Inferencing),Repair,,railway-repair-2,1,Recheck,4,69822755
Jena (No Inferencing),Repair,,railway-repair-2,1,Transformation,5,1697133
Jena (No Inferencing),Repair,,railway-repair-2,1,Recheck,5,54642648
Jena (No Inferencing),Repair,,railway-repair-2,2,Read,,215830785
Jena (No Inferencing),Repair,,railway-repair-2,2,Check,,83234702
Jena (No Inferencing),Repair,,railway-repair-2,2,Transformation,1,2076329
Jena (No Inferencing),Repair,,railway-repair-2,2,Recheck,1,84348663
Jena (No Inferencing),Repair,,railway-repair-2,2,Transformation,2,1997598
Jena (No Inferencing),Repair,,railway-repair-2,2,Recheck,2,69638170
Jena (No Inferencing),Repair,,railway-repair-2,2,Transformation,3,1100480
Jena (No Inferencing),Repair,,railway-repair-2,2,Recheck,3,45834191
Jena (No Inferencing),Repair,,railway-repair-2,2,Transformation,4,954976
Jena (No Inferencing),Repair,,railway-repair-2,2,Recheck,4,45932054
Jena (No Inferencing),Repair,,railway-repair-2,2,Transformation,5,883125
Jena (No Inferencing),Repair,,railway-repair-2,2,Recheck,5,44632785
Jena (No Inferencing),Repair,,railway-repair-2,3,Read,,115603376
Jena (No Inferencing),Repair,,railway-repair-2,3,Check,,43985333
Jena (No Inferencing),Repair,,railway-repair-2,3,Transformation,1,944855
Jena (No Inferencing),Repair,,railway-repair-2,3,Recheck,1,44132118
Jena (No Inferencing),Repair,,railway-repair-2,3,Transformation,2,922671
Jena (No Inferencing),Repair,,railway-repair-2,3,Recheck,2,43413138
Jena (No Inferencing),Repair,,railway-repair-2,3,Transformation,3,817403
Jena (No Inferencing),Repair,,railway-repair-2,3,Recheck,3,44175739
Jena (No Inferencing),Repair,,railway-repair-2,3,Transformation,4,791619
Jena (No Inferencing),Repair,,railway-repair-2,3,Recheck,4,44597674
Jena (No Inferencing),Repair,,railway-repair-2,3,Transformation,5,613632
Jena (No Inferencing),Repair,,railway-repair-2,3,Recheck,5,46451485
Jena (No Inferencing),Repair,,railway-repair-2,4,Read,,95881878
Jena (No Inferencing),Repair,,railway-repair-2,4,Check,,44821449
Jena (No Inferencing),Repair,,railway-repair-2,4,Transformation,1,862773
Jena (No Inferencing),Repair,,railway-repair-2,4,Recheck,1,45752539
Jena (No Inferencing),Repair,,railway-repair-2,4,Transformation,2,845355
Jena (No Inferencing),Repair,,railway-repair-2,4,Recheck,2,41508820
Jena (No Inferencing),Repair,,railway-repair-2,4,Transformation,3,660261
Jena (No Inferencing),Repair,,railway-repair-2,4,Recheck,3,41785331
Jena (No Inferencing),Repair,,railway-repair-2,4,Transformation,4,704986
Jena (No Inferencing),Repair,,railway-repair-2,4,Recheck,4,40260680
Jena (No Inferencing),Repair,,railway-repair-2,4,Transformation,5,586611
Jena (No Inferencing),Repair,,railway-repair-2,4,Recheck,5,40551739
Jena (No Inferencing),Repair,,railway-repair-2,5,Read,,72910603
Jena (No Inferencing),Repair,,railway-repair-2,5,Check,,41001369
Jena (No Inferencing),Repair,,railway-repair-2,5,Transformation,1,882330
Jena (No Inferencing),Repair,,railway-repair-2,5,Recheck,1,40085321
Jena (No Inferencing),Repair,,railway-repair-2,5,Transformation,2,793638
Jena (No Inferencing),Repair,,railway-repair-2,5,Recheck,2,41605377
Jena (No Inferencing),Repair,,railway-repair-2,5,Transformation,3,745213
Jena (No Inferencing),Repair,,railway-repair-2,5,Recheck,3,39891716
Jena (No Inferencing),Repair,,railway-repair-2,5,Transformation,4,606869
Jena (No Inferencing),Repair,,railway-repair-2,5,Recheck,4,41155069
Jena (No Inferencing),Repair,,railway-repair-2,5,Transformation,5,455334
Jena (No Inferencing),Repair,,railway-repair-2,5,Recheck,5,40866374
