Tool,Workload,Description,Model,Run,Phase,Iteration,Time
VIATRA (Incremental),Repair,,railway-repair-1,1,Read,,602768924
VIATRA (Incremental),Repair,,railway-repair-1,1,Check,,548508
VIATRA (Incremental),Repair,,railway-repair-1,1,Transformation,1,971440
VIATRA (Incremental),Repair,,railway-repair-1,1,Recheck,1,33279
VIATRA (Incremental),Repair,,railway-repair-1,1,Transformation,2,463039
VIATRA (Incremental),Repair,,railway-repair-1,1,Recheck,2,22020
VIATRA (Incremental),Repair,,railway-repair-1,1,Transformation,3,372333
VIATRA (Incremental),Repair,,railway-repair-1,1,Recheck,3,22081
VIATRA (Incremental),Repair,,railway-repair-1,1,Transformation,4,376434
VIATRA (Incremental),Repair,,railway-repair-1,1,Recheck,4,22162
VIATRA (Incremental),Repair,,railway-repair-1,1,Transformation,5,355531
VIATRA (Incremental),Repair,,railway-repair-1,1,Recheck,5,30893
VIATRA (Incremental),Repair,,railway-repair-1,2,Read,,314911698
VIATRA (Incremental),Repair,,railway-repair-1,2,Check,,33348
VIATRA (Incremental),Repair,,railway-repair-1,2,Transformation,1,769026
VIATRA (Incremental),Repair,,railway-repair-1,2,Recheck,1,50277
VIATRA (Incremental),Repair,,railway-repair-1,2,Transformation,2,434400
VIATRA (Incremental),Repair,,railway-repair-1,2,Recheck,2,21250
VIATRA (Incremental),Repair,,railway-repair-1,2,Transformation,3,554028
VIATRA (Incremental),Repair,,railway-repair-1,2,Recheck,3,21995
VIATRA (Incremental),Repair,,railway-repair-1,2,Transformation,4,585711
VIATRA (Incremental),Repair,,railway-repair-1,2,Recheck,4,31178
VIATRA (Incremental),Repair,,railway-repair-1,2,Transformation,5,333960
VIATRA (Incremental),Repair,,railway-repair-1,2,Recheck,5,53871
VIATRA (Incremental),Repair,,railway-repair-1,3,Read,,304389378
VIATRA (Incremental),Repair,,railway-repair-1,3,Check,,33775
VIATRA (Incremental),Repair,,railway-repair-1,3,Transformation,1,498675
VIATRA (Incremental),Repair,,railway-repair-1,3,Recheck,1,20825
VIATRA (Incremental),Repair,,railway-repair-1,3,Transformation,2,383379
VIATRA (Incremental),Repair,,railway-repair-1,3,Recheck,2,20800
VIATRA (Incremental),Repair,,railway-repair-1,3,Transformation,3,331393
VIATRA (Incremental),Repair,,railway-repair-1,3,Recheck,3,21003
VIATRA (Incremental),Repair,,railway-repair-1,3,Transformation,4,378409
VIATRA (Incremental),Repair,,railway-repair-1,3,Recheck,4,20564
VIATRA (Incremental),Repair,,railway-repair-1,3,Transformation,5,291961
VIATRA (Incremental),Repair,,railway-repair-1,3,Recheck,5,20153
VIATRA (Incremental),Repair,,railway-repair-1,4,Read,,247686610
VIATRA (Incremental),Repair,,railway-repair-1,4,Check,,32437
VIATRA (Incremental),Repair,,railway-repair-1,4,Transformation,1,385515
VIATRA (Incremental),Repair,,railway-repair-1,4,Recheck,1,20818
VIATRA (Incremental),Repair,,railway-repair-1,4,Transformation,2,304580
VIATRA (Incremental),Repair,,railway-repair-1,4,Recheck,2,24601
VIATRA (Incremental),Repair,,railway-repair-1,4,Transformation,3,251636
VIATRA (Incremental),Repair,,railway-repair-1,4,Recheck,3,48966
VIATRA (Incremental),Repair,,railway-repair-1,4,Transformation,4,254882
VIATRA (Incremental),Repair,,railway-repair-1,4,Recheck,4,20395
VIATRA (Incremental),Repair,,railway-repair-1,4,Transformation,5,324906
VIATRA (Incremental),Repair,,railway-repair-1,4,Recheck,5,25507
VIATRA (Incremental),Repair,,railway-repair-1,5,Read,,191960422
VIATRA (Incremental),Repair,,railway-repair-1,5,Check,,30825
VIATRA (Incremental),Repair,,railway-repair-1,5,Transformation,1,446654
VIATRA (Incremental),Repair,,railway-repair-1,5,Recheck,1,19005
VIATRA (Incremental),Repair,,railway-repair-1,5,Transformation,2,260721
VIATRA (Incremental),Repair,,railway-repair-1,5,Recheck,2,18860
VIATRA (Incremental),Repair,,railway-repair-1,5,Transformation,3,203162
VIATRA (Incremental),Repair,,railway-repair-1,5,Recheck,3,18781
VIATRA (Incremental),Repair,,railway-repair-1,5,Transformation,4,208492
VIATRA (Incremental),Repair,,railway-repair-1,5,Recheck,4,18921
VIATRA (Incremental),Repair,,railway-repair-1,5,Transformation,5,219655
VIATRA (Incremental),Repair,,railway-repair-1,5,Recheck,5,25279
