Tool,Workload,Description,Model,Run,Phase,Iteration,Time
Jena (No Inferencing),Repair,,railway-repair-32,1,Read,,2263181016
Jena (No Inferencing),Repair,,railway-repair-32,1,Check,,1536347625
Jena (No Inferencing),Repair,,railway-repair-32,1,Transformation,1,44256749
Jena (No Inferencing),Repair,,railway-repair-32,1,Recheck,1,873820458
Jena (No Inferencing),Repair,,railway-repair-32,1,Transformation,2,10669060
Jena (No Inferencing),Repair,,railway-repair-32,1,Recheck,2,819455929
Jena (No Inferencing),Repair,,railway-repair-32,1,Transformation,3,7079319
Jena (No Inferencing),Repair,,railway-repair-32,1,Recheck,3,831407760
Jena (No Inferencing),Repair,,railway-repair-32,1,Transformation,4,6944542
Jena (No Inferencing),Repair,,railway-repair-32,1,Recheck,4,816278984
Jena (No Inferencing),Repair,,railway-repair-32,1,Transformation,5,5906916
Jena (No Inferencing),Repair,,railway-repair-32,1,Recheck,5,806931803
Jena (No Inferencing),Repair,,railway-repair-32,2,Read,,1853351998
Jena (No Inferencing),Repair,,railway-repair-32,2,Check,,778989300
Jena (No Inferencing),Repair,,railway-repair-32,2,Transformation,1,17124187
Jena (No Inferencing),Repair,,railway-repair-32,2,Recheck,1,689347773
Jena (No Inferencing),Repair,,railway-repair-32,2,Transformation,2,12432885
Jena (No Inferencing),Repair,,railway-repair-32,2,Recheck,2,679369481
Jena (No Inferencing),Repair,,railway-repair-32,2,Transformation,3,8033040
Jena (No Inferencing),Repair,,railway-repair-32,2,Recheck,3,667735816
Jena (No Inferencing),Repair,,railway-repair-32,2,Transformation,4,5704725
Jena (No Inferencing),Repair,,railway-repair-32,2,Recheck,4,663729714
Jena (No Inferencing),Repair,,railway-repair-32,2,Transformation,5,5102362
Jena (No Inferencing),Repair,,railway-repair-32,2,Recheck,5,680172647
Jena (No Inferencing),Repair,,railway-repair-32,3,Read,,1414978461
Jena (No Inferencing),Repair,,railway-repair-32,3,Check,,715599666
Jena (No Inferencing),Repair,,railway-repair-32,3,Transformation,1,15854979
Jena (No Inferencing),Repair,,railway-repair-32,3,Recheck,1,757245167
Jena (No Inferencing),Repair,,railway-repair-32,3,Transformation,2,7193651
Jena (No Inferencing),Repair,,railway-repair-32,3,Recheck,2,782979244
Jena (No Inferencing),Repair,,railway-repair-32,3,Transformation,3,5674502
Jena (No Inferencing),Repair,,railway-repair-32,3,Recheck,3,660571742
Jena (No Inferencing),Repair,,railway-repair-32,3,Transformation,4,5144861
Jena (No Inferencing),Repair,,railway-repair-32,3,Recheck,4,652274074
Jena (No Inferencing),Repair,,railway-repair-32,3,Transformation,5,3775727
Jena (No Inferencing),Repair,,railway-repair-32,3,Recheck,5,641484797
Jena (No Inferencing),Repair,,railway-repair-32,4,Read,,1407560471
Jena (No Inferencing),Repair,,railway-repair-32,4,Check,,692963426
Jena (No Inferencing),Repair,,railway-repair-32,4,Transformation,1,9486723
Jena (No Inferencing),Repair,,railway-repair-32,4,Recheck,1,698286602
Jena (No Inferencing),Repair,,railway-repair-32,4,Transformation,2,5917685
Jena (No Inferencing),Repair,,railway-repair-32,4,Recheck,2,705064923
Jena (No Inferencing),Repair,,railway-repair-32,4,Transformation,3,5679955
Jena (No Inferencing),Repair,,railway-repair-32,4,Recheck,3,700183051
Jena (No Inferencing),Repair,,railway-repair-32,4,Transformation,4,4433211
Jena (No Inferencing),Repair,,railway-repair-32,4,Recheck,4,702698201
Jena (No Inferencing),Repair,,railway-repair-32,4,Transformation,5,6691846
Jena (No Inferencing),Repair,,railway-repair-32,4,Recheck,5,808238879
Jena (No Inferencing),Repair,,railway-repair-32,5,Read,,1435808154
Jena (No Inferencing),Repair,,railway-repair-32,5,Check,,689566992
Jena (No Inferencing),Repair,,railway-repair-32,5,Transformation,1,8701456
Jena (No Inferencing),Repair,,railway-repair-32,5,Recheck,1,714204907
Jena (No Inferencing),Repair,,railway-repair-32,5,Transformation,2,5175311
Jena (No Inferencing),Repair,,railway-repair-32,5,Recheck,2,730030790
Jena (No Inferencing),Repair,,railway-repair-32,5,Transformation,3,4447323
Jena (No Inferencing),Repair,,railway-repair-32,5,Recheck,3,696171250
Jena (No Inferencing),Repair,,railway-repair-32,5,Transformation,4,4230499
Jena (No Inferencing),Repair,,railway-repair-32,5,Recheck,4,697667353
Jena (No Inferencing),Repair,,railway-repair-32,5,Transformation,5,3618899
Jena (No Inferencing),Repair,,railway-repair-32,5,Recheck,5,703698026
