Tool,Workload,Description,Model,Run,Phase,Iteration,Time
Jena (No Inferencing),Repair,,railway-repair-512,1,Read,,27185178796
Jena (No Inferencing),Repair,,railway-repair-512,1,Check,,14098966686
Jena (No Inferencing),Repair,,railway-repair-512,1,Transformation,1,192771473
Jena (No Inferencing),Repair,,railway-repair-512,1,Recheck,1,13145393642
Jena (No Inferencing),Repair,,railway-repair-512,1,Transformation,2,91397538
Jena (No Inferencing),Repair,,railway-repair-512,1,Recheck,2,13098603848
Jena (No Inferencing),Repair,,railway-repair-512,1,Transformation,3,87779606
Jena (No Inferencing),Repair,,railway-repair-512,1,Recheck,3,12612220557
Jena (No Inferencing),Repair,,railway-repair-512,1,Transformation,4,59581929
Jena (No Inferencing),Repair,,railway-repair-512,1,Recheck,4,12912881978
Jena (No Inferencing),Repair,,railway-repair-512,1,Transformation,5,52100220
Jena (No Inferencing),Repair,,railway-repair-512,1,Recheck,5,12302587182
Jena (No Inferencing),Repair,,railway-repair-512,2,Read,,26589378392
Jena (No Inferencing),Repair,,railway-repair-512,2,Check,,12838278407
Jena (No Inferencing),Repair,,railway-repair-512,2,Transformation,1,82664206
Jena (No Inferencing),Repair,,railway-repair-512,2,Recheck,1,12340139423
Jena (No Inferencing),Repair,,railway-repair-512,2,Transformation,2,69128754
Jena (No Inferencing),Repair,,railway-repair-512,2,Recheck,2,12570059583
Jena (No Inferencing),Repair,,railway-repair-512,2,Transformation,3,65639772
Jena (No Inferencing),Repair,,railway-repair-512,2,Recheck,3,12601301879
Jena (No Inferencing),Repair,,railway-repair-512,2,Transformation,4,57296851
Jena (No Inferencing),Repair,,railway-repair-512,2,Recheck,4,12453432389
Jena (No Inferencing),Repair,,railway-repair-512,2,Transformation,5,52609538
Jena (No Inferencing),Repair,,railway-repair-512,2,Recheck,5,12606460351
Jena (No Inferencing),Repair,,railway-repair-512,3,Read,,26596550976
Jena (No Inferencing),Repair,,railway-repair-512,3,Check,,12701572508
Jena (No Inferencing),Repair,,railway-repair-512,3,Transformation,1,82623624
Jena (No Inferencing),Repair,,railway-repair-512,3,Recheck,1,12190679300
Jena (No Inferencing),Repair,,railway-repair-512,3,Transformation,2,66413180
Jena (No Inferencing),Repair,,railway-repair-512,3,Recheck,2,12316277792
Jena (No Inferencing),Repair,,railway-repair-512,3,Transformation,3,61279518
Jena (No Inferencing),Repair,,railway-repair-512,3,Recheck,3,12228233926
Jena (No Inferencing),Repair,,railway-repair-512,3,Transformation,4,56491396
Jena (No Inferencing),Repair,,railway-repair-512,3,Recheck,4,12331093140
Jena (No Inferencing),Repair,,railway-repair-512,3,Transformation,5,51408699
Jena (No Inferencing),Repair,,railway-repair-512,3,Recheck,5,12416886372
Jena (No Inferencing),Repair,,railway-repair-512,4,Read,,26729355339
Jena (No Inferencing),Repair,,railway-repair-512,4,Check,,13247945418
Jena (No Inferencing),Repair,,railway-repair-512,4,Transformation,1,72285223
Jena (No Inferencing),Repair,,railway-repair-512,4,Recheck,1,12658342477
Jena (No Inferencing),Repair,,railway-repair-512,4,Transformation,2,62505761
Jena (No Inferencing),Repair,,railway-repair-512,4,Recheck,2,12484213485
Jena (No Inferencing),Repair,,railway-repair-512,4,Transformation,3,59759572
Jena (No Inferencing),Repair,,railway-repair-512,4,Recheck,3,12486518015
Jena (No Inferencing),Repair,,railway-repair-512,4,Transformation,4,52741851
Jena (No Inferencing),Repair,,railway-repair-512,4,Recheck,4,12580056553
Jena (No Inferencing),Repair,,railway-repair-512,4,Transformation,5,50566120
Jena (No Inferencing),Repair,,railway-repair-512,4,Recheck,5,12570354009
Jena (No Inferencing),Repair,,railway-repair-512,5,Read,,26389902786
Jena (No Inferencing),Repair,,railway-repair-512,5,Check,,12947874100
Jena (No Inferencing),Repair,,railway-repair-512,5,Transformation,1,77805074
Jena (No Inferencing),Repair,,railway-repair-512,5,Recheck,1,12411987528
Jena (No Inferencing),Repair,,railway-repair-512,5,Transformation,2,61816566
Jena (No Inferencing),Repair,,railway-repair-512,5,Recheck,2,12497680666
Jena (No Inferencing),Repair,,railway-repair-512,5,Transformation,3,59923833
Jena (No Inferencing),Repair,,railway-repair-512,5,Recheck,3,12450724378
Jena (No Inferencing),Repair,,railway-repair-512,5,Transformation,4,53271186
Jena (No Inferencing),Repair,,railway-repair-512,5,Recheck,4,12606010338
Jena (No Inferencing),Repair,,railway-repair-512,5,Transformation,5,50011459
Jena (No Inferencing),Repair,,railway-repair-512,5,Recheck,5,12594211447
