Tool,Workload,Description,Model,Run,Phase,Iteration,Time
VIATRA (Local Search),Inject,,railway-inject-1024,1,Read,,19508100217
VIATRA (Local Search),Inject,,railway-inject-1024,1,Check,,46085096886
VIATRA (Local Search),Inject,,railway-inject-1024,1,Transformation,1,7412598
VIATRA (Local Search),Inject,,railway-inject-1024,1,Recheck,1,14867539644
VIATRA (Local Search),Inject,,railway-inject-1024,1,Transformation,2,5156716
VIATRA (Local Search),Inject,,railway-inject-1024,1,Recheck,2,14478087163
VIATRA (Local Search),Inject,,railway-inject-1024,1,Transformation,3,3641263
VIATRA (Local Search),Inject,,railway-inject-1024,1,Recheck,3,14727265215
VIATRA (Local Search),Inject,,railway-inject-1024,1,Transformation,4,3146216
VIATRA (Local Search),Inject,,railway-inject-1024,1,Recheck,4,14561140102
VIATRA (Local Search),Inject,,railway-inject-1024,1,Transformation,5,2723838
VIATRA (Local Search),Inject,,railway-inject-1024,1,Recheck,5,14585038618
VIATRA (Local Search),Inject,,railway-inject-1024,2,Read,,14347078369
VIATRA (Local Search),Inject,,railway-inject-1024,2,Check,,42031224111
VIATRA (Local Search),Inject,,railway-inject-1024,2,Transformation,1,1886600
VIATRA (Local Search),Inject,,railway-inject-1024,2,Recheck,1,15152044467
VIATRA (Local Search),Inject,,railway-inject-1024,2,Transformation,2,1806694
VIATRA (Local Search),Inject,,railway-inject-1024,2,Recheck,2,14834242255
VIATRA (Local Search),Inject,,railway-inject-1024,2,Transformation,3,1391628
VIATRA (Local Search),Inject,,railway-inject-1024,2,Recheck,3,14579913387
VIATRA (Local Search),Inject,,railway-inject-1024,2,Transformation,4,1169437
VIATRA (Local Search),Inject,,railway-inject-1024,2,Recheck,4,14756475105
VIATRA (Local Search),Inject,,railway-inject-1024,2,Transformation,5,1134978
VIATRA (Local Search),Inject,,railway-inject-1024,2,Recheck,5,14694656088
VIATRA (Local Search),Inject,,railway-inject-1024,3,Read,,14509935125
VIATRA (Local Search),Inject,,railway-inject-1024,3,Check,,42168326316
VIATRA (Local Search),Inject,,railway-inject-1024,3,Transformation,1,1229362
VIATRA (Local Search),Inject,,railway-inject-1024,3,Recheck,1,16070892876
VIATRA (Local Search),Inject,,railway-inject-1024,3,Transformation,2,1191317
VIATRA (Local Search),Inject,,railway-inject-1024,3,Recheck,2,14686294495
VIATRA (Local Search),Inject,,railway-inject-1024,3,Transformation,3,4692180
VIATRA (Local Search),Inject,,railway-inject-1024,3,Recheck,3,14949775788
VIATRA (Local Search),Inject,,railway-inject-1024,3,Transformation,4,990673
VIATRA (Local Search),Inject,,railway-inject-1024,3,Recheck,4,14756287638
VIATRA (Local Search),Inject,,railway-inject-1024,3,Transformation,5,1120038
VIATRA (Local Search),Inject,,railway-inject-1024,3,Recheck,5,14765368529
VIATRA (Local Search),Inject,,railway-inject-1024,4,Read,,14516135330
VIATRA (Local Search),Inject,,railway-inject-1024,4,Check,,41452722098
VIATRA (Local Search),Inject,,railway-inject-1024,4,Transformation,1,1067246
VIATRA (Local Search),Inject,,railway-inject-1024,4,Recheck,1,15155822658
VIATRA (Local Search),Inject,,railway-inject-1024,4,Transformation,2,1095542
VIATRA (Local Search),Inject,,railway-inject-1024,4,Recheck,2,15055977953
VIATRA (Local Search),Inject,,railway-inject-1024,4,Transformation,3,1128116
VIATRA (Local Search),Inject,,railway-inject-1024,4,Recheck,3,14897666451
VIATRA (Local Search),Inject,,railway-inject-1024,4,Transformation,4,1550364
VIATRA (Local Search),Inject,,railway-inject-1024,4,Recheck,4,14803562400
VIATRA (Local Search),Inject,,railway-inject-1024,4,Transformation,5,1131627
VIATRA (Local Search),Inject,,railway-inject-1024,4,Recheck,5,14871982014
VIATRA (Local Search),Inject,,railway-inject-1024,5,Read,,14115589666
VIATRA (Local Search),Inject,,railway-inject-1024,5,Check,,46424313070
VIATRA (Local Search),Inject,,railway-inject-1024,5,Transformation,1,1547298
VIATRA (Local Search),Inject,,railway-inject-1024,5,Recheck,1,14693684638
VIATRA (Local Search),Inject,,railway-inject-1024,5,Transformation,2,1172786
VIATRA (Local Search),Inject,,railway-inject-1024,5,Recheck,2,15325719227
VIATRA (Local Search),Inject,,railway-inject-1024,5,Transformation,3,1168068
VIATRA (Local Search),Inject,,railway-inject-1024,5,Recheck,3,14578528000
VIATRA (Local Search),Inject,,railway-inject-1024,5,Transformation,4,1091526
VIATRA (Local Search),Inject,,railway-inject-1024,5,Recheck,4,14746607147
VIATRA (Local Search),Inject,,railway-inject-1024,5,Transformation,5,1038604
VIATRA (Local Search),Inject,,railway-inject-1024,5,Recheck,5,14640595248
